unit_id,unit_name,unit_type,sequence_order,latitude_seed,longitude_seed,pollinator_regime,first_boundary_state,second_boundary_state,occurrence_data_status,regime_evidence_status,analysis_role,notes
mainland_reference,Honshu mainland reference,mainland_reference,0,34.7500,138.9500,large_bombus,0,0,reference_only,working_hypothesis,calibration_reference,"Not part of the island occupancy universe; retained to identify the large-Bombus to B. ardens first transition in trait analyses."
izu_oshima,Izu Oshima,island,1,34.7370,139.3950,bombus_ardens,1,0,acquired_exact_polygon,source_supported_proxy,calibration_island,"B. ardens bridge state; first island state after mainland reference."
toshima,Toshima,island,2,34.5200,139.2790,no_effective_bombus,1,1,supplemental_acquisition_required,working_hypothesis,second_boundary_anchor,"Immediate post-Oshima island and therefore the highest-value island for separating a smooth cline from a second-transition step."
niijima,Niijima,island,3,34.3690,139.2570,no_effective_bombus,1,1,acquired_exact_polygon,working_hypothesis,holdout_island,"Existing occurrence audit; focal Campanula flower-length sample is small."
shikinejima,Shikinejima,island,4,34.3260,139.2120,no_effective_bombus,1,1,supplemental_acquisition_required,working_hypothesis,holdout_island,"Small island omitted from the global >=5 km2 universe; acquire independently."
kozushima,Kozushima,island,5,34.2050,139.1340,no_effective_bombus,1,1,acquired_exact_polygon,working_hypothesis,holdout_island,"Existing occurrence audit and source-locked Campanula mating-system channel."
miyakejima,Miyakejima,island,6,34.0810,139.5260,no_effective_bombus,1,1,acquired_exact_polygon,working_hypothesis,southern_holdout,"Existing occurrence audit; source-locked low Campanula outcrossing."
mikurajima,Mikurajima,island,7,33.8740,139.6020,no_effective_bombus,1,1,acquired_exact_polygon,working_hypothesis,southern_holdout,"Existing occurrence audit; no adopted focal Campanula phenotype."
hachijojima,Hachijojima,island,8,33.1130,139.7860,no_effective_bombus,1,1,acquired_exact_polygon,working_hypothesis,southern_holdout,"Existing occurrence audit and source-locked focal trait channels."
aogashima,Aogashima,island,9,32.4580,139.7670,no_effective_bombus,1,1,supplemental_acquisition_required,working_hypothesis,range_limit_holdout,"Southern range-limit island; acquire independently and model high non-detection risk."
