taxon,card_id,obs_id,region_after_key_join,pollinator_regime_after_key_join,flowering_state,focal_flower_visible,comparable,trait_definition_id,trait_score,scored_before_key_join
Ajania pacifica,ajania_000,326909457,Oshima,ardens,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_001,179146374,MAINLAND,large_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_002,60378578,Kozushima,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_003,302095853,Kozushima,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_004,124598854,Kozushima,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_005,245897607,Miyake,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_006,328451857,Oshima,ardens,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_007,243917492,Niijima,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_008,194723897,MAINLAND,large_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_009,342208712,Oshima,ardens,vegetative,no,no,,,yes
Ajania pacifica,ajania_010,107360778,Oshima,ardens,fruit,no,no,,,yes
Ajania pacifica,ajania_011,346220643,Miyake,no_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_012,218115446,Miyake,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_013,139601383,MAINLAND,large_bombus,closed,no,no,,,yes
Ajania pacifica,ajania_014,326909447,Oshima,ardens,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_015,191832557,MAINLAND,large_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_016,36076536,Oshima,ardens,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_017,193707706,MAINLAND,large_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_018,65401902,Hachijo,no_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_019,339545131,Kozushima,no_bombus,fruit,no,no,,,yes
Ajania pacifica,ajania_020,238919477,Hachijo,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_021,65473141,Hachijo,no_bombus,open,yes,yes,ajania_visible_signal_0_3,3,yes
Ajania pacifica,ajania_022,361574839,Miyake,no_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_023,161423277,MAINLAND,large_bombus,vegetative,no,no,,,yes
Ajania pacifica,ajania_024,361607833,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_000,102659170,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_001,233837146,Oshima,ardens,vegetative,no,no,,,yes
Farfugium japonicum,farfug_002,39787086,Kozushima,no_bombus,fruit,no,no,,,yes
Farfugium japonicum,farfug_003,323971845,Oshima,ardens,vegetative,no,no,,,yes
Farfugium japonicum,farfug_004,194724023,MAINLAND,large_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_005,35772663,MAINLAND,large_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_006,102659167,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_007,39787216,Kozushima,no_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_008,322899074,Oshima,ardens,vegetative,no,no,,,yes
Farfugium japonicum,farfug_009,151847128,Oshima,ardens,fruit,no,no,,,yes
Farfugium japonicum,farfug_010,221879672,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_011,269590764,MAINLAND,large_bombus,fruit,no,no,,,yes
Farfugium japonicum,farfug_012,308157222,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_013,251994435,MAINLAND,large_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_014,191809910,MAINLAND,large_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_015,118133845,Kozushima,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_016,361608683,Miyake,no_bombus,vegetative,no,no,,,yes
Farfugium japonicum,farfug_017,193708218,MAINLAND,large_bombus,open,yes,yes,farfugium_visible_signal_0_3,3,yes
Farfugium japonicum,farfug_018,39141856,Oshima,ardens,vegetative,no,no,,,yes
Farfugium japonicum,farfug_019,322898005,Oshima,ardens,vegetative,no,no,,,yes
Farfugium japonicum,farfug_020,338854581,Miyake,no_bombus,vegetative,no,no,,,yes
