taxon,analysis_group,group_confidence,trait_id,trait_family,trait_definition_id,trait_definition,requires_interior_visible,minimum_score,maximum_score,analysis_partition,predeclared_rationale
Campanula microdonta,specialist,source_locked_focal,campanula_inner_guide_strength,visible_signal,campanula_inner_guide_strength_0_3,"0=no visible inner spots or guide; 1=few/faint inner spots; 2=clear inner guide; 3=dense or high-contrast inner guide.",yes,0,3,calibration,"Source-locked focal lineage; this adds only C-rank image-derived guide direction, while flower size and mating channels remain source-locked."
Weigela coraeensis,specialist,medium,weigela_visible_signal,visible_signal,weigela_visible_signal_0_3,"0=no visible petal/throat contrast in an open flower; 1=weak contrast; 2=clear contrast; 3=strong contrasting throat, petal mark, or colour display.",no,0,3,holdout,"Independent floral-comparison lineage; photos test only the directional visual-signal prediction."
Callicarpa japonica,specialist,high,callicarpa_visible_signal,visible_signal,callicarpa_visible_signal_0_3,"0=visually cryptic corolla display; 1=weak visible colour contrast; 2=clear colour display; 3=highly conspicuous flower display.",no,0,3,holdout,"Bee-specialist candidate from source-backed functional group classification."
Trachelospermum asiaticum,specialist,medium,trachelospermum_visible_signal,visible_signal,trachelospermum_visible_signal_0_3,"0=no visible corolla/throat contrast; 1=weak contrast; 2=clear contrast; 3=strong visible corolla or throat contrast.",no,0,3,holdout,"Tubular bee-specialist candidate; score visual display only."
Cirsium nipponicum,specialist,medium,cirsium_visible_signal,visible_signal,cirsium_visible_signal_0_3,"0=cryptic head display; 1=weak visible head contrast; 2=clear flower-head colour display; 3=highly conspicuous flower-head display.",no,0,3,holdout,"Thistle specialist candidate; score display only, not pollinator identity."
Dianthus japonicus,specialist,high,dianthus_visible_signal,visible_signal,dianthus_visible_signal_0_3,"0=plain/low-contrast petal display; 1=weak colour or guide contrast; 2=clear contrast; 3=strong petal colour or guide contrast.",no,0,3,holdout,"Long-tubed specialist candidate; score display only."
Adenophora triphylla,specialist,high,adenophora_visible_signal,visible_signal,adenophora_visible_signal_0_3,"0=no visible corolla contrast; 1=weak contrast; 2=clear contrast; 3=strong visible corolla or inner-throat contrast.",no,0,3,holdout,"Campanulaceae specialist candidate; score display only."
Ajania pacifica,generalist,high,ajania_visible_signal,visible_signal,ajania_visible_signal_0_3,"0=cryptic head display; 1=weak ray/disc or colour contrast; 2=clear contrast; 3=highly conspicuous head display.",no,0,3,holdout,"Open generalist negative-control cohort."
Angelica keiskei,generalist,high,angelica_visible_signal,visible_signal,angelica_visible_signal_0_3,"0=cryptic umbel display; 1=weak contrast; 2=clear white/green floral display; 3=highly conspicuous umbel display.",no,0,3,holdout,"Open generalist negative-control cohort; low mainland availability may exclude it."
Farfugium japonicum,generalist,high,farfugium_visible_signal,visible_signal,farfugium_visible_signal_0_3,"0=cryptic head display; 1=weak ray/disc contrast; 2=clear contrast; 3=highly conspicuous head display.",no,0,3,holdout,"Open generalist negative-control cohort."
Peucedanum japonicum,generalist,high,peucedanum_visible_signal,visible_signal,peucedanum_visible_signal_0_3,"0=cryptic umbel display; 1=weak contrast; 2=clear floral display; 3=highly conspicuous umbel display.",no,0,3,holdout,"Open generalist negative-control cohort."
Pittosporum tobira,generalist,medium,pittosporum_visible_signal,visible_signal,pittosporum_visible_signal_0_3,"0=no visible corolla contrast; 1=weak contrast; 2=clear contrast; 3=strong visible corolla display.",no,0,3,holdout,"Open generalist negative-control cohort."
Rubus trifidus,generalist,high,rubus_visible_signal,visible_signal,rubus_visible_signal_0_3,"0=cryptic flower display; 1=weak petal/stamen contrast; 2=clear contrast; 3=highly conspicuous flower display.",no,0,3,holdout,"Open generalist negative-control cohort; low mainland availability may exclude it."
