source_id,layer,status,coverage,analysis_role,permitted_interpretation,prohibited_interpretation
inoue1986_psb1_89,direct_field_observation,secured,"Izu Oshima Niijima Kozushima Hachijo and mainland localities; visitor effort and rates","Direct visitor channel and body-size/flower-size context","Observed visitor records conditional on listed effort","Complete island fauna, historical absence, pollination effectiveness"
inoue1988_psb3_125,breeding_experiment,secured,"Chiba Oshima Toshima Niijima Kozushima Miyake Hachijo","Bagging/autonomous seed-production and compatibility channel","Experiment-specific autonomous capsule/seed production","Contemporary realized selfing rate or fitness through adulthood"
inoue_washitani1989_psb4_69,phenology_experiment,secured,"Two mainland and six Izu populations","Flowering/seed dispersal timing and germination context","Population-specific phenology categories and source-locality habitat","A complete environmental model or causal explanation of mating-system change"
inoue1990_psb5_57,mating_system_and_pollinator_summary,secured,"Mainland and six Izu islands","Outcrossing and main-pollinator regime channel","Reported population t values and direct main-pollinator labels","A dated sequence of pollinator replacement"
inoue1990_psb5_197,dichogamy_and_allocation,secured,"Mainland and six Izu islands","Dichogamy and sex-allocation channel","Study-specific phase durations and allocation summaries","Independent replicated annual observations"
inoue_maki_masuda1995,common_garden_experiment,secured,"Oshima Toshima Niijima Hachijo plus mainland comparison","Flower-size and controlled behavioral mechanism boundary","Common-garden flower-size summaries and visitor response under the experimental assemblage","Natural island-specific pollination efficacy or B. ardens-specific behavior"
gbif_izu_scoped_20260701,public_occurrence_candidate,secured,"Broad Izu retrieval envelope; seven taxon targets","Availability context and specimen/photo lead generation","Public records with original query and metadata","Island-specific absence, floral visitation, pollinator effectiveness"
inaturalist_izu_scoped,public_observation_candidate,pending_fetch,"Broad Izu retrieval envelope; seven taxon targets","Independent public records and flower-image lead generation","Public observations/photo metadata after review","Population trait frequency, floral visitation, pollinator effectiveness"
user_imiss_3918snps,genomic_qc_summary,secured,"133 individuals 3918 SNP QC summary","Missingness audit only","Identify that raw genotype data and manifest are needed","FST, PCA, admixture, IBD, barrier model or selection inference"
user_raw_vcf_or_plink,genomic_raw,pending_user_input,"Unknown until files are imported","Population genetic and barrier model channel","QC-aware FST, structure, IBD/IBR once sample manifest is present","Any inference before raw data and metadata are supplied"
user_spot_measurements_or_images,phenotype_raw,pending_user_input,"Unknown until files are imported","Spot trait channel","Island/population spot measurement conditional on image/measurement QC","Island frequency or selection inference from unreviewed showcase images"
