obs_id,species,family,functional_group,trait,direction,response_shape,breakpoint_boundary,effect_available,evidence_rank,synthesis_role,source_type,source_ref,note
1,Campanula microdonta,Campanulaceae,specialist_bumblebee,corolla_length,reduction,cline,none,yes,A,primary_geographic,peer_reviewed,"Inoue 1990 Plant Species Biology; repo inoue_literature_island_traits.csv","Within-species mainland-to-island series; 49.9->23.1 mm; smooth monotonic Spearman rho=-1.00"
2,Campanula microdonta,Campanulaceae,specialist_bumblebee,outcrossing_rate,reduction,cline,none,yes,A,primary_geographic,peer_reviewed,"Inoue 1990; repo data","Within-species mainland-to-island series; 0.76->0.21; rho=-0.96"
3,Campanula microdonta,Campanulaceae,specialist_bumblebee,autonomous_selfing,increase,step,ardens_to_no_bombus,yes,A,primary_geographic,peer_reviewed,"Inoue 1988/1990; repo data","Within-species mainland-to-island series; bagged capsule set STEPS 11%->100% at Oshima->Toshima bumblebee-loss boundary"
4,Campanula punctata,Campanulaceae,specialist_bumblebee,breeding_system_SI_to_SC,increase,step,ardens_to_no_bombus,no,B,primary_geographic,peer_reviewed,"Inoue 1986 Plant Species Biology","Reported mainland/Oshima -> southern-island contrast; recover source table and locality-level n before upgrade to A"
5,Ligustrum ovalifolium,Oleaceae,intermediate_tubular,corolla_tube_length,reduction,cline,none,no,B,pending_scope_check,peer_reviewed,"Kato et al. 2013 Botanical Journal of the Linnean Society; doi:10.1111/boj.12092","Reported direction only; full-text extraction must verify taxonomic rank, mainland/island units, sampling and effect values before primary inclusion"
9,Ligustrum ovalifolium,Oleaceae,intermediate_tubular,stamen_length,reduction,cline,none,no,B,pending_scope_check,peer_reviewed,"Kato et al. 2013 Botanical Journal of the Linnean Society; doi:10.1111/boj.12092","Reported direction only; full-text extraction must verify taxonomic rank, mainland/island units, sampling and effect values before primary inclusion"
6,Lilium auratum var platyphyllum (Sakuyuri),Liliaceae,large_flower_hawkmoth,corolla_size,enlargement,unknown,unknown,no,B,comparative_context,peer_reviewed,"Nakajima 2018 Plant Species Biology 33; taxonomy check required","Do not use as a within-species island effect until the taxonomic relationship and comparison design are source-verified; retain as context only"
10,Chionographis japonica,Melanthiaceae,specialist_bumblebee,corolla_tube_length,reduction,unknown,unknown,no,B,pending_scope_check,peer_reviewed,"Suetsugu et al. 2024 New Phytologist 241 (nph.19325)","Reported Kozushima reduction; full text must verify comparison populations, sampling and taxonomic scope before primary inclusion"
11,Clerodendrum izuinsulare vs trichotomum,Lamiaceae,specialist_bumblebee,self_compatibility,increase,unknown,unknown,no,B,comparative_context,peer_reviewed,"Mizusawa et al. 2014 Plant Species Biology 29","Between-taxon comparison; retain as reproductive-evolution context, not a within-species island effect"
7,Rhododendron kaempferi (Oshima-tsutsuji form),Ericaceae,large_flower_other,corolla_size,enlargement,unknown,unknown,no,D,comparative_context,web_flora,"Oshima town / Tokyo nature-park pages","Form-level Web description; context only pending original taxonomic and measurement source"
8,Campanula microdonta,Campanulaceae,specialist_bumblebee,flower_colour,paler,unknown,unknown,no,D,primary_geographic,web_flora,"Tokyo park PDF 2023","Within-species geographic qualitative corroboration; U4 only, not a numeric effect"
